order_id,tarih,sehir,magaza,urun_adi,kategori,adet,birim_fiyat,toplam_fiyat,odeme_tipi
1001,2023-03-15,Bursa,Migros,Süt 1L,Gıda,5,25,125,Kredi Kartı
1002,2023-11-16,İstanbul,Carrefour,Motor Yağı 5W-30,Otomotiv,5,600,3000,Kredi Kartı
1003,2023-11-27,Bursa,Teknosa,Motor Yağı 5W-30,Otomotiv,4,600,2400,Banka Kartı
1004,2023-03-03,İstanbul,Şok,Şarjlı Pil Seti,Elektronik,2,250,500,Banka Kartı
1005,2023-06-07,İstanbul,Şok,Motor Yağı 5W-30,Otomotiv,5,600,3000,Kredi Kartı
1006,2023-12-01,İstanbul,BİM,Oyun Mouse,Elektronik,2,450,900,Nakit
1007,2023-06-11,İzmir,A101,Süt 1L,Gıda,5,25,125,Nakit
1008,2023-03-22,Antalya,Teknosa,Akü 60Ah Bosch,Elektronik,5,1100,5500,Nakit
1009,2023-11-13,Antalya,Şok,Motor Yağı 5W-30,Otomotiv,1,600,600,Banka Kartı
1010,2023-12-04,İstanbul,Migros,Akü 12V 60Ah,Elektronik,5,950,4750,Kredi Kartı
1011,2023-12-05,Antalya,Şok,Coca Cola 1.5L,İçecek,3,30,90,Kredi Kartı
1012,2023-10-24,İstanbul,Carrefour,Şarjlı Pil Seti,Elektronik,1,250,250,Nakit
1013,2023-02-27,Antalya,Teknosa,Motor Yağı 5W-30,Otomotiv,1,600,600,Kredi Kartı
1014,2023-10-23,İstanbul,Carrefour,Telefon Şarj Aleti,Elektronik,3,200,600,Banka Kartı
1015,2023-02-06,Ankara,Carrefour,Yumurta 30'lu,Gıda,4,90,360,Nakit
1016,2023-02-09,İstanbul,Şok,Coca Cola 1.5L,İçecek,2,30,60,Kredi Kartı
1017,2023-04-16,Bursa,Migros,Süt 1L,Gıda,2,25,50,Kredi Kartı
1018,2023-06-28,Ankara,Teknosa,Ekmek,Gıda,5,10,50,Kredi Kartı
1019,2023-07-06,Ankara,Şok,Şarjlı Pil Seti,Elektronik,4,250,1000,Banka Kartı
1020,2023-02-16,İzmir,BİM,Yumurta 30'lu,Gıda,1,90,90,Kredi Kartı
1021,2023-06-07,Ankara,Şok,Coca Cola 1.5L,İçecek,2,30,60,Nakit
1022,2023-04-26,Bursa,Şok,Telefon Şarj Aleti,Elektronik,2,200,400,Kredi Kartı
1023,2023-03-23,İzmir,Migros,Akü 12V 60Ah,Elektronik,5,950,4750,Nakit
1024,2023-04-21,Bursa,Carrefour,Su 5L,İçecek,1,15,15,Kredi Kartı
1025,2023-05-06,Ankara,Migros,Su 5L,İçecek,3,15,45,Nakit
1026,2023-06-13,Bursa,A101,Lastik Basınç Ölçer,Otomotiv,5,180,900,Banka Kartı
1027,2023-08-26,Antalya,Teknosa,Akü 12V 60Ah,Elektronik,4,950,3800,Banka Kartı
1028,2023-03-30,Ankara,Migros,Süt 1L,Gıda,1,25,25,Nakit
